Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,City,lat,lon,image
Visite à travers les scènes de films et de séries de Central Park,9.0,49.0,202 voyageurs,7.3,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 heures,[2],New York,40.7652026,-73.9751271,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/central-park-new-york.jpg
"Visite d'Union Square, de la High Line et de Chelsea",1.0,34.0,2 voyageurs,10.0,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[2],New York,40.74213,-73.99122,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/disfrutando-nueva-york.jpg
The Ride Experience,7.0,51.9,71 voyageurs,8.6,Non remboursable. Cette activité n'admet pas d'annulation.,1h15,[1],New York,40.75748,-73.989836,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/diversion-the-ride.jpg
Excursion de 2 jours aux chutes du Niagara,-1.0,74.6,49 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 jours,[2],New York,40.75667,-73.99111,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/catarata-niagara-tour-dos-dias.jpg
Billet pour la cathédrale Saint-Patrick avec audioguide,4.0,354.3,87 voyageurs,6.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,"[2, -1]",New York,40.7587924,-73.9769005,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/catedral-san-patricio-iluminada.jpg
"Visite du pont de Brooklyn, du quartier DUMBO et Brooklyn Heights",-1.0,18.9,1 voyageur,-1.0,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[2],New York,40.69975105996872,-73.99121687276364,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vistas-dumbo-atardecer.jpg
Balade en vélo dans Central Park,73.0,49.0,812 voyageurs,9.4,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 24 heures d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 heures,[2],New York,40.76322,-73.977152,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/tour-central-park-bicicleta.jpg
"Niagara, Toronto, Philadelphie et Washington en 5 jours",-1.0,56.5,3 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",5 jours,[2],New York,40.75667,-73.99111,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/estatua-lincoln-tour-cuatro-dias.jpg
Visite gastronomique dans Little Italy et Chinatown,1.0,892.9,10 voyageurs,8.0,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3 heures,[1],New York,40.71435328229808,-74.00422201897808,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/little-italy-gastronomia.jpg
Déjeuner-croisière au sud de Manhattan,-1.0,74.6,34 voyageurs,-1.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,[-1],New York,40.747402,-74.008074,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/comida-barco-paseo-nueva-york.jpg
Visite à la découverte des super-héros de New York,-1.0,104.8,281 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[2],New York,40.753213,-73.980282,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/globo-daily-news.jpg
Billet pour Wicked,13.0,55.7,40 voyageurs,9.2,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,[-1],New York,40.762361,-73.985344,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/wicked-1.jpg
Circuit sur les pas de la série Les Soprano,1.0,144.5,484 voyageurs,10.0,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 heures,[1],New York,40.7541979,-73.9901121,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/sopranoland.jpg
Billet pour Madame Tussauds,16.0,68.0,9 voyageurs,8.9,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,[-1],New York,40.7564504,-73.9887887,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/esculturas-oscars-museo-cera.jpg
Billet pour le Moulin Rouge,1.0,38.0,111 voyageurs,10.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h40,[-1],New York,40.759279,-73.9891203,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/teatro-moulin-rouge.jpg
Location de voilier avec capitaine,-1.0,103.9,13 voyageurs,-1.0,"Si vous annulez avec plus de 6 jours d’avance, nous vous rembourserons 85%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2h - 3h,[-1],New York,40.7128,-74.0154611,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/disfrutando-travesia-velero-nueva-york.jpg
Billet pour le Top of The Rock,3.0,614.2,2 192 voyageurs,9.3,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,[-1],New York,40.75890959,-73.97901434,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/top-rock-central-park.jpg
Billet pour SPYSCAPE,-1.0,41.1,12 voyageurs,-1.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,[-1],New York,40.7653131,-73.983746,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/sala-spyscape.jpg
Excursion à Washington DC et Philadelphie,146.0,40.1,64 voyageurs,8.2,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",17 heures,"[1, 3]",New York,40.759617,-73.984572,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/capitolio-washingtondc.jpg
Visite gastronomique à travers l'East Village,-1.0,140.7,12 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,[2],New York,40.734,-73.984722,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/food-tour-new-york-east-village.jpg
Billet pour LEGOLAND New York,-1.0,69.0,3 voyageurs,-1.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,[-1],New York,41.3827869,-74.3102287,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/dragon-legoland.jpg
The Tour Experience,4.0,77.1,47 voyageurs,6.0,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,[1],New York,40.758275,-73.985669,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/autobus-the-tour.jpg
Visite privée en limousine dans New York,-1.0,36.8,255 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/limusina-nueva-york.jpg
"Excursion à Southampton, Sag Harbor et Tanger Outlets",-1.0,590.5,24 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1 jour,[2],New York,40.75667,-73.99111,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/southampton.jpg
"Billet pour MJ, la comédie musicale de Michael Jackson",4.0,159.6,4 voyageurs,9.5,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,[-1],New York,40.763145,-73.984315,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/actor-musical-michael-jackson.jpg
Visite guidée dans Central Park,-1.0,181.4,99 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[2],New York,40.78320704415846,-73.9736073,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/lago-central-park.jpg
Balade en bateau à grande vitesse,6.0,69.0,1 409 voyageurs,8.7,Non remboursable. Cette activité n'admet aucune annulation ou modification.,30 minutes,[1],New York,40.762668,-74.001401,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/the-beast-estatua-libertad.jpg
Visite gastronomique à pied dans Harlem,-1.0,28.3,1 534 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 15 jours avant l'activité. Si vous annulez avec plus de 48 heures d’avance, nous vous rembourserons 85%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 heures,[1],New York,40.758294,-73.989046,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/soul-food-pollo-frito.jpg
